user_input,retrieved_contexts,response,reference,answer_relevancy
Convert 200 pounds to kilograms.,[],200 pounds * 0.453592 = 90.796 kg.,200 lb ÷ 2.2 = 90.9 kg.,0.6870169934106031
What does the nurse do if an outcome is only partially met?,[],"The nurse assesses the situation, adjusts care as needed, and provides reassurance to the patient or family.",The nurse revises the care plan by adding new interventions or modifying existing ones.,0.6964598093515619
Why should pseudoephedrine be avoided in patients with hyperthyroidism?,[],It can cause hypothyroidism by stimulating the thyroid gland to produce more T3.,It can exacerbate symptoms like tachycardia and hypertension.,0.47535985535930386
How do regulatory T cells function?,[],Regulatory T cells suppress immune responses by inhibiting the activation of other immune cells.,Regulatory T cells suppress excessive immune responses to prevent autoimmunity.,0.817755081882963
What are the three types of wound healing?,[],"Primary, secondary, and tertiary healing.","Primary intention, secondary intention, and tertiary intention.",0.8494236496761153
What lifestyle modifications can help Parkinson’s patients?,[],"Lifestyle modifications include exercise, diet, medication, and sleep management.","Physical therapy, exercise, and speech therapy.",0.5407317226478885
What is (are) Keutel syndrome ?,[],"Keutel syndrome is an autosomal dominant disorder characterized by progressive hearing loss, vision problems, and intellectual disability. The signs and symptoms typically begin in childhood or adolescence and may worsen over time. People with Keutel syndrome have varying degrees of hearing impairment; some have mild to severe hearing loss that can be detected only during infancy or early childhood. Vision problems may include retinal detachment, cataracts, or other eye diseases. Intellectual disability ranges from mild to profound. Some affected individuals experience seizures. In addition to these features, people with Keutel syndrome often have abnormal heart rhythms (arrhythmias), which can cause sudden death.","Keutel syndrome is an inherited condition characterized by cartilage calcification in the ears, nose, larnyx, trachea (voice box), and ribs; pulmonary artery stenoses; brachytelephalangism (short fingers and nails that resemble drumsticks); and facial dysmorphism. Less than 30 cases have been reported in the literature. The majority of affected individuals have been diagnosed during childhood. Other associated features may include hearing loss, recurrent otitis and/or sinusitis, mild intellectual disability, frequent respiratory infections, nasal speech and rarely, seizures, and short stature. This condition is inherited in an autosomal recessive fashion and is caused by mutations in the MGP gene.",0.7249652703885309
What should be monitored in patients taking systemic antifungals long-term?,[],Long-term use of systemic antifungals can lead to resistance if not properly managed.,"Liver function, renal function, and potassium levels",0.7425683668479136
What is the function of lidocaine in medical procedures?,[],It is used to prevent bleeding during surgery by blocking platelet aggregation.,It provides local anesthesia to numb the area before procedures.,0.6343687654758012
What is complicated grief disorder?,[],"Complicated grief disorder (CGD) is characterized by recurrent, severe grief after the death of a loved one.","A prolonged, intense grief reaction that significantly impairs daily life.",0.6988218793088902
What is a shared accountability model in nursing education?,[],"A shared accountability model involves students working together to develop their own learning strategies, which they then share with peers for feedback and improvement.",It is a model where students are accountable for their learning and safety but are not blamed for system failures.,0.8777913303859379
What is the function of the lymphatic system?,[],"The lymphatic system collects and drains excess fluid from tissues, returning it to the bloodstream for removal.",The lymphatic system filters pathogens from the blood through lymph nodes and carries excess interstitial fluid to the bloodstream.,0.9441787509623556
What should be monitored after rectal medication administration?,[],"Patient's bowel movements, stool color, and frequency.","Signs of dizziness, bradycardia, or adverse reactions",0.2856466001482612
What angle should be used for intramuscular injections?,[],"A 90-degree angle is typically used for subcutaneous injection, while an 85-degree angle is preferred for intramuscular injection.",90 degrees.,0.8481486371613706
What are the symptoms of Epiphyseal dysplasia multiple with early-onset diabetes mellitus ?,[],"Symptoms of epiphyseal dysplasia multiple with early-onset diabetes mellitus include:

- Early onset diabetes mellitus (EDM) - Diabetes mellitus that begins before age 10, usually in childhood or adolescence

- Hypertension - High blood pressure, which can lead to heart disease and stroke

- Osteoporosis - Bone loss that occurs as bones break down faster than they are formed

- Osteopenia - Bone thinning that occurs after puberty but before menopause

- Osteosclerosis - Bone formation that occurs after puberty and is more common in women than in men

- Osteomalacia - Bone softening due to calcium deficiency

- Osteogenesis imperfecta - Bone weakness that causes fractures easily

- Osteopetrosis - Abnormal bone growth that leads to bone destruction and deformities

- Spastic paraparesis - Muscle weakness and paralysis that may be caused by nerve damage or muscle wasting

The signs and symptoms of EDM vary widely among affected individuals. Some people have no symptoms at all. Others experience severe symptoms such as osteoporosis, osteoarthritis, and joint pain.","What are the signs and symptoms of Epiphyseal dysplasia multiple with early-onset diabetes mellitus? The Human Phenotype Ontology provides the following list of signs and symptoms for Epiphyseal dysplasia multiple with early-onset diabetes mellitus. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the metaphyses 90% Short stature 90% Type II diabetes mellitus 90% Abnormality of immune system physiology 50% Abnormality of neutrophils 50% Acute hepatic failure 50% Brachydactyly syndrome 50% Chronic hepatic failure 50% Cognitive impairment 50% Delayed skeletal maturation 50% Elevated hepatic transaminases 50% Gait disturbance 50% Genu valgum 50% Hepatomegaly 50% Platyspondyly 50% Short thorax 50% Abnormality of neuronal migration 7.5% Aplasia/Hypoplasia of the pancreas 7.5% Exocrine pancreatic insufficiency 7.5% Hyperlordosis 7.5% Hypoglycemia 7.5% Hypothyroidism 7.5% Intrauterine growth retardation 7.5% Kyphosis 7.5% Microcephaly 7.5% Nephropathy 7.5% Recurrent fractures 7.5% Renal insufficiency 7.5% Seizures 7.5% Autosomal recessive inheritance - Barrel-shaped chest - Carpal bone hypoplasia - Cone-shaped epiphyses of the phalanges of the hand - Coxa valga - Depressed nasal bridge - Epiphyseal dysplasia - Flattened epiphysis - High palate - Hip dislocation - Hip Subluxation - Hypertelorism - Hypertonia - Hypoplasia of the odontoid process - Infantile onset - Insulin-resistant diabetes mellitus - Irregular carpal bones - Irregular tarsal ossification - Irregular vertebral endplates - Ivory epiphyses of the phalanges of the hand - Ivory epiphyses of the toes - Multiple epiphyseal dysplasia - Narrow iliac wings - Osteoporosis - Preauricular pit - Reduced pancreatic beta cells - Shortening of all middle phalanges of the fingers - Small epiphyses - Upslanted palpebral fissure - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",1.0
"Have you had any recent changes in mood, anxiety, or depression?",[],I have not experienced significant changes recently.,Patient describes mental health changes or denies any.,0.7408185612001063
Is mucopolysaccharidosis type II inherited ?,[],"Mucopolysaccharidosis type II is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs or symptoms because the affected person has two changes (mutations) in the gene.","This condition is inherited in an X-linked recessive pattern. The gene associated with this condition is located on the X chromosome, which is one of the two sex chromosomes. In males (who have only one X chromosome), one altered copy of the gene in each cell is sufficient to cause the condition. In females (who have two X chromosomes), a mutation would have to occur in both copies of the gene to cause the disorder. Because it is unlikely that females will have two altered copies of this gene, males are affected by X-linked recessive disorders much more frequently than females. A characteristic of X-linked inheritance is that fathers cannot pass X-linked traits to their sons.",0.9880549558960039
What are the genetic changes related to spinal muscular atrophy ?,[],"Spinal muscular atrophy is caused by mutations in the SMN1 gene. This gene provides instructions for making a protein called muscle-specific dystrophin, which helps maintain the structure of muscle fibers. The function of this protein is unknown; however, it appears to be involved in maintaining the integrity of muscle cells. Mutations in the SMN1 gene cause spinal muscular atrophy when the protein produced from that gene is unable to function properly. The lack of functional muscle-specific dystrophin leads to the characteristic signs and symptoms of spinal muscular atrophy.","Mutations in the SMN1, UBA1, DYNC1H1, and VAPB genes cause spinal muscular atrophy. Extra copies of the SMN2 gene modify the severity of spinal muscular atrophy. The SMN1 and SMN2 genes provide instructions for making a protein called the survival motor neuron (SMN) protein. The SMN protein is important for the maintenance of specialized nerve cells called motor neurons. Motor neurons are located in the spinal cord and the brainstem; they control muscle movement. Most functional SMN protein is produced from the SMN1 gene, with a small amount produced from the SMN2 gene. Several different versions of the SMN protein are produced from the SMN2 gene, but only one version is full size and functional. Mutations in the SMN1 gene cause spinal muscular atrophy types I, II, III, and IV. SMN1 gene mutations lead to a shortage of the SMN protein. Without SMN protein, motor neurons die, and nerve impulses are not passed between the brain and muscles. As a result, some muscles cannot perform their normal functions, leading to weakness and impaired movement. Some people with type II, III, or IV spinal muscular atrophy have three or more copies of the SMN2 gene in each cell. Having multiple copies of the SMN2 gene can modify the course of spinal muscular atrophy. The additional SMN proteins produced from the extra copies of the SMN2 gene can help replace some of the SMN protein that is lost due to mutations in the SMN1 gene. In general, symptoms are less severe and begin later in life as the number of copies of the SMN2 gene increases. Mutations in the UBA1 gene cause X-linked spinal muscular atrophy. The UBA1 gene provides instructions for making the ubiquitin-activating enzyme E1. This enzyme is involved in a process that targets proteins to be broken down (degraded) within cells. UBA1 gene mutations lead to reduced or absent levels of functional enzyme, which disrupts the process of protein degradation. A buildup of proteins in the cell can cause it to die; motor neurons are particularly susceptible to damage from protein buildup. The DYNC1H1 gene provides instructions for making a protein that is part of a group (complex) of proteins called dynein. This complex is found in the fluid inside cells (cytoplasm), where it is part of a network that moves proteins and other materials. In neurons, dynein moves cellular materials away from the junctions between neurons (synapses) to the center of the cell. This process helps transmit chemical messages from one neuron to another. DYNC1H1 gene mutations that cause SMA-LED disrupt the function of the dynein complex. As a result, the movement of proteins, cellular structures, and other materials within cells are impaired. A decrease in chemical messaging between neurons that control muscle movement is thought to contribute to the muscle weakness experienced by people with SMA-LED. It is unclear why this condition affects only the lower extremities. The adult-onset form of spinal muscular atrophy is caused by a mutation in the VAPB gene. The VAPB gene provides instructions for making a protein that is found in cells throughout the body. Researchers suggest that this protein may play a role in preventing the buildup of unfolded or misfolded proteins within cells. It is unclear how a VAPB gene mutation leads to the loss of motor neurons. An impaired VAPB protein might cause misfolded and unfolded proteins to accumulate and impair the normal function of motor neurons. Other types of spinal muscular atrophy that primarily affect the lower legs and feet and the lower arms and hands are caused by the dysfunction of neurons in the spinal cord. When spinal muscular atrophy shows this pattern of signs and symptoms, it is also known as distal hereditary motor neuropathy. The various types of this condition are caused by mutations in other genes.",0.8135774574422581
Do you have information about Organ Transplantation,[],"Yes, I have information on organ transplantation. What is transplant surgery? Transplant surgery involves taking healthy tissue from one part of your body and using it to replace diseased or damaged parts of another part of your body. This process is called xenotransplantation. The goal is to repair or replace diseased organs or tissues in the recipient's body. For example, if someone has a heart problem that causes their heart muscle to weaken, they may need a heart transplant. A person who needs a kidney transplant might also need a liver transplant. If a person has a brain tumor, they may need a brain transplant. In some cases, people receive stem cells from a donor to help them grow new blood vessels or other tissues. Stem cell therapy can be used for many diseases and conditions.","Summary : You may need an organ transplant if one of your organs has failed. This can happen because of illness or injury. When you have an organ transplant, doctors remove an organ from another person and place it in your body. The organ may come from a living donor or a donor who has died. The organs that can be transplanted include - Heart - Intestine - Kidney - Liver - Lung - Pancreas You often have to wait a long time for an organ transplant. Doctors must match donors to recipients to reduce the risk of transplant rejection. Rejection happens when your immune system attacks the new organ. If you have a transplant, you must take drugs the rest of your life to help keep your body from rejecting the new organ.",0.6463169268770015
Why is fluid balance important in IV therapy?,[],"To prevent electrolyte imbalances, maintain blood pressure, and ensure proper oxygenation.",To maintain cellular function and prevent dehydration or fluid overload.,0.2989142834844971
How do differences in perception and viewpoints impact communication?,[],"Differences in perception and viewpoints can lead to misunderstandings, misinterpretations, or conflicts in communication.","Differences in perception and viewpoints can cause patients to feel misunderstood. Nurses should provide information in a nonjudgmental manner, respecting the patient's beliefs and perspectives.",0.5201089362457795
How often should a wound be assessed?,[],"Every 24 hours for minor wounds, every 36 hours for moderate to severe wounds, and every 72 hours for critical wounds.","At every dressing change, documenting size, appearance, drainage, and staging (if applicable).",0.7780476890019884
What is a PES statement in nursing?,[],"A PES statement is a patient's description of their symptoms, including what they feel, how they feel, and any associated pain or discomfort.","A PES statement describes a nursing diagnosis, including the Problem, Etiology (cause), and Symptoms (evidence).",0.8472404584462794
What are the stages of Salivary Gland Cancer ?,[],"Salivary gland cancer is classified into four stages based on tumor size, whether it has spread to nearby lymph nodes, or whether it has metastasized (spread). The following table shows the staging system used for salivary gland cancer.","Key Points - After salivary gland cancer has been diagnosed, tests are done to find out if cancer cells have spread within the salivary gland or to other parts of the body. - There are three ways that cancer spreads in the body. - Cancer may spread from where it began to other parts of the body. - The following stages are used for major salivary gland cancers: - Stage I - Stage II - Stage III - Stage IV After salivary gland cancer has been diagnosed, tests are done to find out if cancer cells have spread within the salivary gland or to other parts of the body. The process used to find out if cancer has spread within the salivary glands or to other parts of the body is called staging. The information gathered from the staging process determines the stage of the disease. It is important to know the stage in order to plan treatment. The following procedures may be used in the staging process: - MRI (magnetic resonance imaging): A procedure that uses a magnet, radio waves, and a computer to make a series of detailed pictures of areas inside the body. This procedure is also called nuclear magnetic resonance imaging (NMRI). - CT scan (CAT scan): A procedure that makes a series of detailed pictures of areas inside the body, taken from different angles. The pictures are made by a computer linked to an x-ray machine. A dye may be injected into a vein or swallowed to help the organs or tissues show up more clearly. This procedure is also called computed tomography, computerized tomography, or computerized axial tomography. There are three ways that cancer spreads in the body. Cancer can spread through tissue, the lymph system, and the blood: - Tissue. The cancer spreads from where it began by growing into nearby areas. - Lymph system. The cancer spreads from where it began by getting into the lymph system. The cancer travels through the lymph vessels to other parts of the body. - Blood. The cancer spreads from where it began by getting into the blood. The cancer travels through the blood vessels to other parts of the body. Cancer may spread from where it began to other parts of the body. When cancer spreads to another part of the body, it is called metastasis. Cancer cells break away from where they began (the primary tumor) and travel through the lymph system or blood. - Lymph system. The cancer gets into the lymph system, travels through the lymph vessels, and forms a tumor (metastatic tumor) in another part of the body. - Blood. The cancer gets into the blood, travels through the blood vessels, and forms a tumor (metastatic tumor) in another part of the body. The metastatic tumor is the same type of cancer as the primary tumor. For example, if salivary gland cancer spreads to the lung, the cancer cells in the lung are actually salivary gland cancer cells. The disease is metastatic salivary gland cancer, not lung cancer. The following stages are used for major salivary gland cancers: Stage I In stage I, the tumor is in the salivary gland only and is 2 centimeters or smaller. Stage II In stage II, the tumor is in the salivary gland only and is larger than 2 centimeters but not larger than 4 centimeters. Stage III In stage III, one of the following is true: - The tumor is not larger than 4 centimeters and has spread to a single lymph node on the same side as the tumor and the lymph node is 3 centimeters or smaller. - The tumor is larger than 4 centimeters and/or has spread to soft tissue around the affected gland. Cancer may have spread to a single lymph node on the same side as the tumor and the lymph node is 3 centimeters or smaller. Stage IV Stage IV is divided into stages IVA, IVB, and IVC as follows: - Stage IVA: - The tumor may be any size and may have spread to soft tissue around the affected gland. Cancer has spread to a single lymph node on the same side as the tumor and the lymph node is larger than 3 centimeters but not larger than 6 centimeters, or has spread to more than one lymph node on either or both sides of the body and the lymph nodes are not larger than 6 centimeters; or - Cancer has spread to the skin, jawbone, ear canal, and/or facial nerve, and may have spread to one or more lymph nodes on either or both sides of the body. The lymph nodes are not larger than 6 centimeters. - Stage IVB: - The tumor may be any size and may have spread to soft tissue around the affected gland. Cancer has spread to a lymph node larger than 6 centimeters; or - Cancer has spread to the base of the skull and/or the carotid artery, and may have spread to one or more lymph nodes of any size on either or both sides of the body. - Stage IVC: - The tumor may be any size and may have spread to soft tissue around the affected gland, to the skin, jawbone, ear canal, facial nerve, base of the skull, or carotid artery, or to one or more lymph nodes on either or both sides of the body. Cancer has spread to distant parts of the body. Salivary gland cancers are also grouped by grade. The grade of a tumor tells how fast the cancer cells are growing, based on how the cells look under a microscope. Low-grade cancers grow more slowly than high-grade cancers. Minor salivary gland cancers are staged according to where they were first found in the body.",0.9772693319056216
When is a tonsillectomy recommended?,[],"For patients with chronic obstructive pulmonary disease (COPD) or asthma, it may be necessary to remove tonsils.",For recurrent or severe cases of tonsillitis.,0.5182142688712666
What brain structure controls the respiratory rate?,[],The medulla oblongata regulates breathing by controlling the heart rate.,The medulla oblongata.,0.5577432659763063
What role does physical therapy play in pressure injury prevention?,[],"Physical therapists help prevent pressure injuries by improving mobility, reducing friction, and promoting proper circulation.","It helps improve mobility, strengthen muscles, and provide postural alignment support to reduce prolonged pressure on vulnerable areas.",0.8717450512165572
Why should new onset of petechiae be reported immediately?,[],It may indicate an underlying condition requiring immediate attention.,"Petechiae can indicate bleeding disorders, clotting issues, or serious infections and require immediate evaluation.",0.351731193612198
What is the difference between SpO2 and PaO2?,[],"SpO2 measures arterial oxygen saturation, while PaO2 measures partial pressure of oxygen in the blood.","SpO2 measures oxygen saturation of hemoglobin, while PaO2 measures oxygen pressure in the blood.",0.5719084170938814
What is the outlook for Tremor ?,[],"The prognosis of tremors depends on the cause, severity, and individual factors such as age, gender, and overall health.","Although tremor is not life-threatening, it can be embarrassing to some people and make it harder to perform daily tasks.",0.8178371462071083
What are the treatments for Parasites - Angiostrongyliasis (also known as Angiostrongylus Infection) ?,[],"Treatment is based on the type of parasite involved, but may include antiparasitic drugs such as albendazole or mebendazole.","Angiostrongylus cantonensis
    
There is no specific treatment for A. cantonensis infection. There is some evidence that certain supportive treatments may reduce the severity of headache and the duration of symptoms. Persons with symptoms should consult their health care provider for more information.
    Angiostrongylus costaricensis
    
There is no specific treatment for A. costaricensis infections. Most infections resolve spontaneously though sometime surgical treatment is necessary to removed portions of inflamed intestine. Persons with symptoms should consult their health care provider for more information.",0.6510539747532644
What is (are) Glaucoma ?,[],"Glaucoma is an eye disease that damages the optic nerve, which is responsible for transmitting visual information from the retina to the brain. The most common type of glaucoma is primary open-angle glaucoma, which occurs in people over 40 years old. Other types include secondary angle-closure glaucoma, secondary chronic angle-closure glaucoma, and secondary acute angle-closure glaucoma.","Glaucoma is a group of diseases that can damage the eye's optic nerve. It is a leading cause of blindness in the United States. It usually happens when the fluid pressure inside the eyes slowly rises, damaging the optic nerve. Often there are no symptoms at first. Without treatment, people with glaucoma will slowly lose their peripheral, or side vision. They seem to be looking through a tunnel. Over time, straight-ahead vision may decrease until no vision remains. A comprehensive eye exam can tell if you have glaucoma. People at risk should get eye exams at least every two years. They include - African Americans over age 40 - People over age 60, especially Mexican Americans - People with a family history of glaucoma There is no cure, but glaucoma can usually be controlled. Early treatment can help protect your eyes against vision loss. Treatments usually include prescription eyedrops and/or surgery. NIH: National Eye Institute",0.7870675811882595
What are the genetic changes related to spinocerebellar ataxia type 3 ?,[],"Spinocerebellar ataxia type 3 is caused by mutations in the SLC26A10 gene. This gene provides instructions for making a protein that helps control the activity of certain enzymes involved in energy production within neurons (nerve cells). The enzyme, called ATP synthase, plays an important role in the process of energy production. When ATP synthase is active, it helps generate the necessary energy for nerve cell function. Mutations in the SLC26A10 gene lead to the production of an inactive form of ATP synthase. Without this enzyme, the energy-producing processes in neurons cannot be properly regulated, which can cause damage to the brain.","Mutations in the ATXN3 gene cause SCA3. The ATXN3 gene provides instructions for making an enzyme called ataxin-3, which is found in cells throughout the body. Ataxin-3 is involved in a mechanism called the ubiquitin-proteasome system that destroys and gets rid of excess or damaged proteins. The molecule ubiquitin is attached (bound) to unneeded proteins, which tags them to be broken down (degraded) within cells. Ataxin-3 removes the ubiquitin from these unwanted proteins just before they are degraded so that the ubiquitin can be used again. Researchers believe that ataxin-3 also may be involved in regulating the first stage of protein production (transcription). The ATXN3 gene mutations that cause SCA3 involve a DNA segment known as a CAG trinucleotide repeat. This segment is made up of a series of three DNA building blocks (cytosine, adenine, and guanine) that appear multiple times in a row. Normally, the CAG segment is repeated 12 to 43 times within the gene. Most people have fewer than 31 CAG repeats. In people with SCA3, the CAG segment is repeated more than 50 times. People who have 44 to 52 CAG repeats are described as having an ""intermediate repeat."" These individuals may or may not develop SCA3. People with 75 or fewer repeats tend to first experience signs and symptoms of SCA3 in mid-adulthood, while people with around 80 repeats usually have signs and symptoms by their teens. An increase in the length of the CAG segment leads to the production of an abnormally long version of the ataxin-3 enzyme that folds into the wrong 3-dimensional shape. This nonfunctional ataxin-3 enzyme cannot remove ubiquitin from proteins that are no longer needed. As a result, these unwanted proteins, along with ubiquitin and ataxin-3, cluster together to form clumps (aggregates) within the nucleus of the cells. It is unclear how these aggregates affect cell function, because they are found in healthy cells as well as those that die. Nerve cells (neurons) and other types of brain cells are most affected by mutations in the ATXN3 gene. SCA3 is associated with cell death in the part of the brain that is connected to the spinal cord (the brainstem), the part of the brain involved in coordinating movements (the cerebellum), and other areas of the brain. This condition is also associated with the death of neurons in the spinal cord. Over time, the loss of cells in the brain and spinal cord cause the signs and symptoms characteristic of SCA3.",0.8915866140444666
What is a more therapeutic alternative to aggressive responses?,[],"Patient education, supportive care, and patient-centered care can help manage symptoms effectively.",'Taking your prescribed medications every day can prevent symptoms from returning.',0.40767232885275234
What is electroconvulsive therapy (ECT) used for?,[],"Electroconvulsive therapy is used to treat severe depression, bipolar disorder, and schizophrenia.","Severe depression, bipolar disorder, and schizophrenia.",0.7917887334806873
What should be done if a wound culture shows no bacterial growth but infection symptoms persist?,[],Further diagnostic tests or surgical intervention may be necessary.,Reassess symptoms and consider additional testing.,0.335571050249539
"What are the symptoms of Hypertrichosis lanuginosa, acquired ?",[],"Hypertrichosis lanuginosa is characterized by excessive hair growth in areas such as the face, chest, back, and arms. The hair may be thick, curly, or wavy. It can also cause skin changes, including acne, eczema, and hyperpigmentation.","What are the signs and symptoms of Hypertrichosis lanuginosa, acquired? The Human Phenotype Ontology provides the following list of signs and symptoms for Hypertrichosis lanuginosa, acquired. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the eye 90% Abnormality of the eyebrow 90% Congenital, generalized hypertrichosis 90% Fine hair 90% Hypopigmentation of hair 90% Glossitis 50% Acanthosis nigricans 7.5% Ichthyosis 7.5% Lymphadenopathy 7.5% Malabsorption 7.5% Neoplasm of the breast 7.5% Neoplasm of the lung 7.5% Ovarian neoplasm 7.5% Weight loss 7.5% The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",0.8993180867991463
How can the risk of post-removal complications be minimized?,[],"By following proper sterilization protocols, using sterile equipment, and ensuring proper handling techniques.",Follow aseptic technique and proper wound care practices.,0.31211401378481834
What is (are) High Blood Cholesterol ?,[],"High blood cholesterol levels can lead to heart disease, stroke, and other health problems. The main risk factors for high blood cholesterol include - being overweight or obese - having a family history of heart disease - smoking - not exercising regularly - drinking too much alcohol - not eating enough fruits and vegetables - not getting enough physical activity - not taking enough calcium and vitamin D - not using statins",A desirable level for total cholesterol is less than 200 mg/dL. Here are the ranges for total cholesterol levels. Do you know how your total cholesterol level compares?,0.7549641851049448
What are the treatments for galactosialidosis ?,[],"These treatments target the underlying cause of the disorder, which is usually caused by a deficiency in the enzyme galactose-1-phosphate uridylyltransferase (GUT). Treatment may include dietary changes to prevent complications such as bone deformities or kidney disease.",These resources address the diagnosis or management of galactosialidosis: - Genetic Testing Registry: Combined deficiency of sialidase AND beta galactosidase - MedlinePlus Encyclopedia: Hepatosplenomegaly (image) - MedlinePlus Encyclopedia: Hydrops fetalis These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,0.2236954586817323
What is (are) Tangier disease ?,[],"Tangier disease is an inherited disorder characterized by progressive muscle weakness, ataxia, and cognitive impairment. It affects males more frequently than females. The cause of this condition remains unknown. Treatment typically focuses on managing symptoms and improving quality of life.","Tangier disease is an inherited disorder characterized by significantly reduced levels of high-density lipoprotein (HDL) in the blood. HDL transports cholesterol and certain fats called phospholipids from the body's tissues to the liver, where they are removed from the blood. HDL is often referred to as ""good cholesterol"" because high levels of this substance reduce the chances of developing heart and blood vessel (cardiovascular) disease. Because people with Tangier disease have very low levels of HDL, they have a moderately increased risk of cardiovascular disease. Additional signs and symptoms of Tangier disease include a slightly elevated amount of fat in the blood (mild hypertriglyceridemia); disturbances in nerve function (neuropathy); and enlarged, orange-colored tonsils. Affected individuals often develop atherosclerosis, which is an accumulation of fatty deposits and scar-like tissue in the lining of the arteries. Other features of this condition may include an enlarged spleen (splenomegaly), an enlarged liver (hepatomegaly), clouding of the clear covering of the eye (corneal clouding), and type 2 diabetes.",0.0
What are the symptoms of Spondylospinal thoracic dysostosis ?,[],"Spondylospinal thoracic dysostosis is characterized by skeletal abnormalities, including spina bifida occulta (a hole in the spine), scoliosis, and kyphoscoliosis. Other features may include joint deformities, heart defects, and other congenital malformations. The severity of these features can vary greatly among affected individuals.","What are the signs and symptoms of Spondylospinal thoracic dysostosis? The Human Phenotype Ontology provides the following list of signs and symptoms for Spondylospinal thoracic dysostosis. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Hypoplasia of the maxilla - Multiple pterygia - Pulmonary hypoplasia - Short thorax - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",0.9257563832168075
What is the correct position for a male patient during catheter insertion?,[],The patient should be lying on their side with knees bent at 90 degrees to facilitate easier insertion.,Supine with legs extended.,0.7516155894501287
What causes Down syndrome ?,[],"Down syndrome is caused by an extra copy of chromosome 21 in each cell. This extra copy, known as a chromosomal abnormality, increases the risk for intellectual disability and other health problems.","What causes Down syndrome? There are 3 possible genetic causes of Down syndrome: Trisomy 21. Most often, Down syndrome is caused by an extra chromosome 21 in all cells of the affected person. In these cases, the chromosome 21 pair fails to separate during the formation of an egg (or sperm); this is called ""nondisjunction."" When the egg with 2 copies of chromosome 21 unites with a normal sperm with one copy of chromosome 21 to form an embryo, the resulting embryo has 3 copies of chromosome 21 instead of the normal two. The extra chromosome is then copied in every cell of the baby's body, causing the features of Down syndrome. The cause of nondisjunction is unknown, but research has shown that it happens more often as women age. Nondisjunction is not known to be caused by anything in the environment or anything that parents do (or don't do) before or during pregnancy. Mosaic trisomy 21. In about 1-2% of cases, only some of the cells in a person's body have an extra chromosome 21; this is called ""mosaic trisomy 21"". In this situation, the fertilized egg may have the right number of chromosomes, but due to a cell division error early in the development of the embryo, some cells ""acquire"" an extra chromosome 21. A person with mosaic trisomy 21 typically has 46 chromosomes in some cells, and 47 chromosomes (with the extra chromosome 21) in others. The features and severity in people with mosaic trisomy 21 may vary widely. Translocation trisomy 21. About 3-4% of people with Down syndrome have cells that contain 46 chromosomes; however, there is extra chromosome 21 material attached (translocated ) onto another chromosome. For parents of a child with Down syndrome due to a translocation, there may be an increased chance of Down syndrome in future pregnancies. This is because one of the two parents may be a carrier of a balanced translocation. However, not all parents of people with translocation trisomy 21 have a translocation. Regardless of the type of Down syndrome a person has, all people with Down syndrome have an extra, critical portion of chromosome 21 present in all or some of their cells. This extra genetic material disrupts the normal course of development, causing the characteristic features of Down syndrome.",1.0
